Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1996.102,True,False,False,5223,743,The American Wing,1996,Painting,Apple Blossoms,American,,,,,181,Artist, ,Charles Caryl Coleman,"American, Buffalo, New York 1840–1928 Capri, Italy", ,"Coleman, Charles Caryl",American,1840      ,1928      ,,http://vocab.getty.edu/page/ulan/500009792,https://www.wikidata.org/wiki/Q5076135,1889,1889,1889,Oil on canvas,62 3/8 x 35 in. (158.4 x 88.9 cm),"Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/5223,https://www.wikidata.org/wiki/Q20169878,,"Metropolitan Museum of Art, New York, NY",Flowers|Still Life,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300015638,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q170571
13.140,True,True,True,10049,766,The American Wing,1913,Painting,"""King Lear,"" Act I, Scene I",American,,,,,16156,Artist, ,Edwin Austin Abbey,"American, Philadelphia, Pennsylvania 1852–1911 London", ,"Abbey, Edwin Austin",American,1852      ,1911      ,,http://vocab.getty.edu/page/ulan/500010457,https://www.wikidata.org/wiki/Q259538,1898,1898,1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),"Gift of George A. Hearn, 1913",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10049,https://www.wikidata.org/wiki/Q19925330,,"Metropolitan Museum of Art, New York, NY",King Lear|Shakespeare|Kings|Men|Women|Dogs, |http://vocab.getty.edu/page/ulan/500272240|http://vocab.getty.edu/page/aat/300025481|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300265714,https://www.wikidata.org/wiki/Q181598|https://www.wikidata.org/wiki/Q692|https://www.wikidata.org/wiki/Q12097|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q144
1980.224,True,True,True,10065,768,The American Wing,1980,Painting,Repose,American,,,,,230,Artist, ,John White Alexander,"American, Allegheny, Pennsylvania 1856–1915 New York", ,"Alexander, John White",American,1856      ,1915      ,,http://vocab.getty.edu/page/ulan/500025329,https://www.wikidata.org/wiki/Q1702146,1895,1895,1895,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),"Anonymous Gift, 1980",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10065,https://www.wikidata.org/wiki/Q20175225,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467
40.40,True,False,True,10080,762,The American Wing,1940,Painting,The Way They Live,American,,,,,16161,Artist, ,Thomas Anshutz,"American, Newport, Kentucky 1851–1912 Fort Washington, Pennsylvania", ,"Anshutz, Thomas",American,1851      ,1912      ,,http://vocab.getty.edu/page/ulan/500011734,https://www.wikidata.org/wiki/Q2757568,1879,1879,1879,Oil on canvas,24 x 17 in. (61 x 43.2 cm),"Morris K. Jesup Fund, 1940",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10080,https://www.wikidata.org/wiki/Q6067009,,"Metropolitan Museum of Art, New York, NY",Houses|Boys|Girls|Women|Working,http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300412186,https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q6958747
65.49,True,True,False,10127,768,The American Wing,1965,Painting,Ernesta (Child with Nurse),American,,,,,16166,Artist, ,Cecilia Beaux,"American, Philadelphia, Pennsylvania 1855–1942 Gloucester, Massachusetts", ,"Beaux, Cecilia",American,1855      ,1942      ,Female,http://vocab.getty.edu/page/ulan/500014265,https://www.wikidata.org/wiki/Q466677,1894,1894,1894,Oil on canvas,50 1/2 x 38 1/8 in. (128.3 x 96.8 cm),"Maria DeWitt Jesup Fund, 1965",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10127,https://www.wikidata.org/wiki/Q20170788,,"Metropolitan Museum of Art, New York, NY",Girls|Portraits,http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q134307
07.123,True,True,True,10154,760,The American Wing,1907,Painting,"The Rocky Mountains, Lander's Peak",American,,,,,16168,Artist, ,Albert Bierstadt,"American, Solingen 1830–1902 New York", ,"Bierstadt, Albert",American,1830      ,1902      ,,http://vocab.getty.edu/page/ulan/500001248,https://www.wikidata.org/wiki/Q77132,1863,1863,1863,Oil on canvas,73 1/2 x 120 3/4 in. (186.7 x 306.7 cm),"Rogers Fund, 1907",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10154,https://www.wikidata.org/wiki/Q7761325,,"Metropolitan Museum of Art, New York, NY",Tents|Horses|Mountains|Landscapes,http://vocab.getty.edu/page/aat/300005694|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q170544|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
33.61,True,True,True,10159,758,The American Wing,1933,Painting,Fur Traders Descending the Missouri,American,,,,,16168,Artist, ,George Caleb Bingham,"American, Augusta County, Virginia 1811–1879 Kansas City, Missouri", ,"Bingham, George Caleb",American,1811      ,1879      ,,http://vocab.getty.edu/page/ulan/500028547,https://www.wikidata.org/wiki/Q598030,1845,1845,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),"Morris K. Jesup Fund, 1933",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10159,https://www.wikidata.org/wiki/Q3172087,,"Metropolitan Museum of Art, New York, NY",Human Figures|Men|Cats|Rivers|Boats,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300265960|http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q146|https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q35872
16.68.3,True,False,True,10175,774,The American Wing,1916,Painting,Mrs. David Chesebrough,American,,,,,234,Artist, ,Joseph Blackburn,active 1752–ca. 1778, ,"Blackburn, Joseph",American,1715      ,1815      ,,http://vocab.getty.edu/page/ulan/500021703,https://www.wikidata.org/wiki/Q3184614,1754,1754,1754,Oil on canvas,49 7/8 x 40 1/8 in. (126.7 x 101.9 cm),"Gift of Sylvester Dering, 1916",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10175,https://www.wikidata.org/wiki/Q20170899,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467
04.31,True,False,True,10186,766,The American Wing,1904,Painting,The Ameya,American,,,,,16317,Artist, ,Robert Frederick Blum,"American, Cincinnati, Ohio 1857–1903 New York", ,"Blum, Robert Frederick",American,1857      ,1903      ,,http://vocab.getty.edu/page/ulan/500003750,https://www.wikidata.org/wiki/Q3592147,by 1893,1892,1893,Oil on canvas,25 1/16 x 31 1/16 in. (63.7 x 78.9 cm),"Gift of Estate of Alfred Corning Clark, 1904",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10186,https://www.wikidata.org/wiki/Q20170852,,"Metropolitan Museum of Art, New York, NY",Infants|Women|Street Scene|Working,http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300386103|http://vocab.getty.edu/page/aat/300412186,https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q7766995|https://www.wikidata.org/wiki/Q6958747
1982.443.1,True,False,True,10207,760,The American Wing,1982,Painting,An Arctic Summer: Boring Through the Pack in Melville Bay,American,,,,,16315,Artist, ,William Bradford,"American, 1823–1892", ,"Bradford, William",American,1823      ,1892      ,,http://vocab.getty.edu/page/ulan/500003752,https://www.wikidata.org/wiki/Q8005829,1871,1871,1871,Oil on canvas,"51 3/4 x 78 in. (131.4 x 198.1 cm); framed: 60 x 86 1/2 x 4 in.
","Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1982",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10207,https://www.wikidata.org/wiki/Q19968008,,"Metropolitan Museum of Art, New York, NY",Ships|Landscapes,http://vocab.getty.edu/page/aat/300082981|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q11446|https://www.wikidata.org/wiki/Q191163
